season,team,player_name,player_id,games_started,first_week,last_week,birth_date,draft_year,draft_team
2003,TEN,S.McNair,00-0011024,14,1,16,1973-02-14,1995.0,HOU
2003,WAS,P.Ramsey,00-0021379,11,1,12,1979-02-14,2002.0,WAS
2004,ARI,J.McCown,00-0021206,12,1,17,1979-07-04,2002.0,ARI
2004,ATL,M.Vick,00-0020245,15,1,17,1980-06-26,2001.0,ATL
2004,BAL,K.Boller,00-0022164,16,1,17,1981-06-17,2003.0,BAL
2004,BUF,D.Bledsoe,00-0001361,16,1,17,1972-02-14,1993.0,NE
2004,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2004,CHI,C.Krenzel,00-0022818,5,8,12,1981-07-01,2004.0,CHI
2004,CIN,C.Palmer,00-0021429,13,1,14,1979-12-27,2003.0,CIN
2004,CLE,J.Garcia,00-0005755,10,1,11,1970-02-24,,
2004,DAL,V.Testaverde,00-0016193,15,1,17,1963-11-13,1987.0,TB
2004,DEN,J.Plummer,00-0013042,16,1,17,1974-12-19,1997.0,ARI
2004,DET,J.Harrington,00-0021141,16,1,17,1978-10-21,2002.0,DET
2004,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2004,HOU,D.Carr,00-0020608,16,1,17,1979-07-21,2002.0,HOU
2004,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2004,JAX,B.Leftwich,00-0022177,14,1,17,1980-01-14,2003.0,JAX
2004,KC,T.Green,00-0006355,16,1,17,1970-07-09,1993.0,LAC
2004,LAC,D.Brees,00-0020531,15,1,16,1979-01-15,2001.0,LAC
2004,LAR,M.Bulger,00-0019599,14,1,17,1977-04-05,2000.0,NO
2004,LV,K.Collins,00-0003292,13,4,17,1972-12-30,1995.0,CAR
2004,MIA,A.Feeley,00-0020305,8,2,16,1977-05-16,2001.0,PHI
2004,MIN,D.Culpepper,00-0003739,16,1,17,1977-01-28,1999.0,MIN
2004,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2004,NO,A.Brooks,00-0001823,16,1,17,1976-03-24,1999.0,GB
2004,NYG,K.Warner,00-0017200,9,1,10,1971-06-22,,
2004,NYJ,C.Pennington,00-0019559,13,1,17,1976-06-26,2000.0,NYJ
2004,PHI,D.McNabb,00-0011022,15,1,16,1976-11-25,1999.0,PHI
2004,PIT,B.Roethlisberger,00-0022924,13,3,16,1982-03-02,2004.0,PIT
2004,SEA,M.Hasselbeck,00-0007091,14,1,17,1975-09-25,1998.0,GB
2004,SF,T.Rattay,00-0019623,9,1,13,1977-03-15,2000.0,SF
2004,TB,B.Griese,00-0006423,10,6,16,1975-03-18,1998.0,DEN
2004,TEN,S.McNair,00-0011024,8,1,12,1973-02-14,1995.0,HOU
2004,WAS,M.Brunell,00-0002110,9,1,10,1970-09-17,1993.0,GB
2005,ARI,K.Warner,00-0017200,10,1,15,1971-06-22,,
2005,ATL,M.Vick,00-0020245,15,1,17,1980-06-26,2001.0,ATL
2005,BAL,K.Boller,00-0022164,9,1,17,1981-06-17,2003.0,BAL
2005,BUF,J.Losman,00-0022912,8,1,14,1981-03-12,2004.0,BUF
2005,CAR,J.Delhomme,00-0004161,16,1,17,1975-01-10,,
2005,CHI,K.Orton,00-0023541,8,1,9,1982-11-14,2005.0,CHI
2005,CIN,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2005,CLE,T.Dilfer,00-0004293,11,1,12,1972-03-13,1994.0,TB
2005,DAL,D.Bledsoe,00-0001361,16,1,17,1972-02-14,1993.0,NE
2005,DEN,J.Plummer,00-0013042,16,1,17,1974-12-19,1997.0,ARI
2005,DET,J.Harrington,00-0021141,11,1,17,1978-10-21,2002.0,DET
2005,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2005,HOU,D.Carr,00-0020608,16,1,17,1979-07-21,2002.0,HOU
2005,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2005,JAX,B.Leftwich,00-0022177,11,1,12,1980-01-14,2003.0,JAX
2005,KC,T.Green,00-0006355,16,1,17,1970-07-09,1993.0,LAC
2005,LAC,D.Brees,00-0020531,16,1,17,1979-01-15,2001.0,LAC
2005,LAR,M.Bulger,00-0019599,8,1,11,1977-04-05,2000.0,NO
2005,LV,K.Collins,00-0003292,15,1,17,1972-12-30,1995.0,CAR
2005,MIA,G.Frerotte,00-0005589,14,1,17,1971-07-31,1994.0,WAS
2005,MIN,B.Johnson,00-0008442,9,9,17,1968-09-13,1992.0,MIN
2005,NE,T.Brady,00-0019596,16,1,17,1977-08-03,2000.0,NE
2005,NO,A.Brooks,00-0001823,13,1,14,1976-03-24,1999.0,GB
2005,NYG,E.Manning,00-0022803,16,1,17,1981-01-03,2004.0,LAC
2005,NYJ,B.Bollinger,00-0022026,9,4,17,1979-11-15,2003.0,NYJ
2005,PHI,D.McNabb,00-0011022,9,1,10,1976-11-25,1999.0,PHI
2005,PIT,B.Roethlisberger,00-0022924,12,1,17,1982-03-02,2004.0,PIT
2005,SEA,M.Hasselbeck,00-0007091,16,1,17,1975-09-25,1998.0,GB
2005,SF,A.Smith,00-0023436,7,5,17,1984-05-07,,
2005,TB,C.Simms,00-0022005,10,8,17,1980-08-29,2003.0,TB
2005,TEN,S.McNair,00-0011024,14,1,16,1973-02-14,1995.0,HOU
2005,WAS,M.Brunell,00-0002110,15,2,17,1970-09-17,1993.0,GB
2006,ARI,M.Leinart,00-0024225,11,5,16,1983-05-11,2006.0,ARI
2006,ATL,M.Vick,00-0020245,16,1,17,1980-06-26,2001.0,ATL
2006,BAL,S.McNair,00-0011024,16,1,17,1973-02-14,1995.0,HOU
2006,BUF,J.Losman,00-0022912,16,1,17,1981-03-12,2004.0,BUF
2006,CAR,J.Delhomme,00-0004161,13,1,17,1975-01-10,,
2006,CHI,R.Grossman,00-0022121,16,1,17,1980-08-23,2003.0,CHI
2006,CIN,C.Palmer,00-0021429,16,1,17,1979-12-27,2003.0,CIN
2006,CLE,C.Frye,00-0023502,13,1,17,1981-08-28,2005.0,CLE
2006,DAL,T.Romo,00-0021678,10,8,17,1980-04-21,,
2006,DEN,J.Plummer,00-0013042,11,1,12,1974-12-19,1997.0,ARI
2006,DET,J.Kitna,00-0009311,16,1,17,1972-09-21,,
2006,GB,B.Favre,00-0005106,16,1,17,1969-10-10,1991.0,ATL
2006,HOU,D.Carr,00-0020608,16,1,17,1979-07-21,2002.0,HOU
2006,IND,P.Manning,00-0010346,16,1,17,1976-03-24,1998.0,IND
2006,JAX,D.Garrard,00-0021231,9,8,17,1978-02-14,2002.0,JAX
2006,KC,T.Green,00-0006355,8,1,17,1970-07-09,1993.0,LAC
2006,LAC,P.Rivers,00-0022942,16,1,17,1981-12-08,2004.0,NYG
