season,posteam,qb_id,qb_name,attempts,games,expected_pass_rate_on_attempts,proe_on_attempts
2023,JAX,00-0036971,T.Lawrence,592,16,0.7071819293841317,29.281807061586832
2023,KC,00-0033873,P.Mahomes,765,20,0.6916067716245557,30.839322837544422
2023,LA,00-0026498,M.Stafford,578,16,0.7039142566439809,29.608574335601915
2023,LAC,00-0036355,J.Herbert,459,12,0.7103836610750954,28.961633892490454
2023,LV,00-0038579,A.O'Connell,350,10,0.7252254361765725,27.477456382342748
2023,MIA,00-0036212,T.Tagovailoa,621,18,0.7064812416975624,29.351875830243753
2023,MIN,00-0029604,K.Cousins,319,8,0.7273155412516997,27.268445874830025
2023,NE,00-0036972,M.Jones,360,11,0.7425768979307678,25.74231020692322
2023,NO,00-0031280,D.Carr,553,16,0.7343888499960977,26.56111500039023
2023,NYG,00-0038476,T.DeVito,200,7,0.7495426855236292,25.04573144763708
2023,NYJ,00-0037013,Z.Wilson,389,11,0.7495219069305606,25.047809306943936
2023,PHI,00-0036389,J.Hurts,585,17,0.6927962955501344,30.720370444986557
2023,PIT,00-0038102,K.Pickett,314,10,0.7158214131927794,28.41785868072206
2023,SEA,00-0030565,G.Smith,516,15,0.7378248999169631,26.217510008303694
2023,SF,00-0037834,B.Purdy,569,19,0.6821841106263951,31.7815889373605
2023,TB,00-0034855,B.Mayfield,685,19,0.7266918737957947,27.330812620420527
2023,TEN,00-0029701,R.Tannehill,257,9,0.7271950011239442,27.280499887605586
2023,WAS,00-0037077,S.Howell,668,17,0.6985481637948288,30.145183620517127
2024,ARI,00-0035228,K.Murray,562,17,0.7118127379181971,28.818726208180294
2024,ATL,00-0029604,K.Cousins,473,14,0.7584734563942187,24.152654360578126
2024,BAL,00-0034796,L.Jackson,533,19,0.7383450237548373,26.165497624516263
2024,BUF,00-0034857,J.Allen,576,19,0.6946327669623619,30.536723303763818
2024,CAR,00-0039150,B.Young,397,12,0.7558668471628833,24.413315283711672
2024,CHI,00-0039918,C.Williams,622,17,0.7577615310572735,24.223846894272654
2024,CIN,00-0036442,J.Burrow,691,17,0.6738343548876073,32.61656451123927
2024,CLE,00-0031503,J.Winston,302,7,0.7468416097740463,25.315839022595362
2024,DAL,00-0033077,D.Prescott,302,8,0.7480847088509048,25.19152911490952
2024,DEN,00-0039732,B.Nix,608,18,0.7139718021070095,28.602819789299055
2024,DET,00-0033106,J.Goff,594,18,0.6791089258943794,32.08910741056206
2024,GB,00-0036264,J.Love,453,15,0.7198796629510968,28.01203370489032
2024,HOU,00-0039163,C.Stroud,643,18,0.7173888001527238,28.261119984727625
