season,week,game_id,posteam,qb_id,qb_name,plays,actual_pass_rate,expected_pass_rate,proe
2020,6,2020_06_NYJ_MIA,NYJ,00-0026158,J.Flacco,68,0.6764705882352942,0.6998603455722332,-2.3389757336939083
2020,6,2020_06_WAS_NYG,NYG,00-0035710,D.Jones,42,0.4523809523809524,0.5453562353338514,-9.297528295289903
2020,6,2020_06_WAS_NYG,WAS,00-0034577,K.Allen,69,0.6811594202898551,0.7072928973298142,-2.613347703995912
2020,7,2020_07_BUF_NYJ,BUF,00-0034857,J.Allen,69,0.6811594202898551,0.5770249025545259,10.413451773532923
2020,7,2020_07_BUF_NYJ,NYJ,00-0034869,S.Darnold,49,0.5510204081632653,0.610626337479572,-5.96059293163066
2020,7,2020_07_CAR_NO,CAR,00-0031237,T.Bridgewater,43,0.7209302325581395,0.6087430771007094,11.218715545743011
2020,7,2020_07_CAR_NO,NO,00-0020531,D.Brees,64,0.5625,0.5927051306935027,-3.0205130693502724
2020,7,2020_07_CHI_LA,CHI,00-0029567,N.Foles,61,0.7213114754098361,0.7228117785492881,-0.15003031394520744
2020,7,2020_07_CHI_LA,LA,00-0033106,J.Goff,64,0.53125,0.5439359815791249,-1.2685981579124928
2020,7,2020_07_CLE_CIN,CIN,00-0036442,J.Burrow,67,0.746268656716418,0.6012804250218975,14.498823169452042
2020,7,2020_07_CLE_CIN,CLE,00-0034855,B.Mayfield,47,0.574468085106383,0.6352605515338005,-6.079246642741751
2020,7,2020_07_DAL_WAS,DAL,00-0027973,A.Dalton,43,0.5581395348837209,0.673817100566487,-11.567756568276605
2020,7,2020_07_DAL_WAS,WAS,00-0034577,K.Allen,64,0.4375,0.4941283530788496,-5.662835307884961
2020,7,2020_07_DET_ATL,ATL,00-0026143,M.Ryan,70,0.6285714285714286,0.6209010028413364,0.7670425730092185
2020,7,2020_07_DET_ATL,DET,00-0026498,M.Stafford,52,0.6346153846153846,0.6750181111005636,-4.040272648517902
2020,7,2020_07_GB_HOU,GB,00-0023459,A.Rodgers,58,0.5689655172413793,0.5275175575937691,4.144795964761027
2020,7,2020_07_GB_HOU,HOU,00-0033537,D.Watson,64,0.75,0.7023722215089947,4.76277784910053
2020,7,2020_07_JAX_LAC,JAX,00-0035289,G.Minshew II,57,0.5964912280701754,0.696959481427544,-10.04682533573686
2020,7,2020_07_JAX_LAC,LAC,00-0036355,J.Herbert,69,0.6521739130434783,0.5482673523002777,10.390656074320061
2020,7,2020_07_KC_DEN,DEN,00-0035704,D.Lock,74,0.581081081081081,0.6866962023683496,-10.561512128726855
2020,7,2020_07_KC_DEN,KC,00-0033873,P.Mahomes,42,0.6190476190476191,0.5384009044085231,8.064671463909603
2020,7,2020_07_NYG_PHI,NYG,00-0035710,D.Jones,54,0.6296296296296297,0.593779008421633,3.585062120799665
2020,7,2020_07_NYG_PHI,PHI,00-0032950,C.Wentz,69,0.6666666666666666,0.6658008128836534,0.0865853783013164
2020,7,2020_07_PIT_TEN,PIT,00-0022924,B.Roethlisberger,72,0.6805555555555556,0.5461771742751201,13.437838128043545
2020,7,2020_07_PIT_TEN,TEN,00-0029701,R.Tannehill,54,0.5925925925925926,0.7207086229765857,-12.811603038399308
2020,7,2020_07_SEA_ARI,ARI,00-0035228,K.Murray,76,0.631578947368421,0.7096501750577437,-7.807122768932267
2020,7,2020_07_SEA_ARI,SEA,00-0029263,R.Wilson,80,0.7,0.5483018996194005,15.16981003805995
2020,7,2020_07_SF_NE,NE,00-0027939,C.Newton,33,0.5454545454545454,0.6599161679094488,-11.446162245490335
2020,7,2020_07_SF_NE,SF,00-0031345,J.Garoppolo,62,0.41935483870967744,0.48662103784661137,-6.726619913693397
2020,7,2020_07_TB_LV,LV,00-0031280,D.Carr,62,0.6451612903225806,0.6306867850643973,1.4474505258183326
2020,7,2020_07_TB_LV,TB,00-0019596,T.Brady,68,0.6323529411764706,0.5918123123838621,4.054062879260848
2020,8,2020_08_ATL_CAR,ATL,00-0026143,M.Ryan,64,0.546875,0.5537012888817117,-0.6826288881711662
2020,8,2020_08_ATL_CAR,CAR,00-0031237,T.Bridgewater,45,0.6444444444444445,0.6391078482071558,0.5336596237288581
2020,8,2020_08_DAL_PHI,DAL,00-0036384,B.DiNucci,77,0.5714285714285714,0.6781256702039149,-10.669709877534347
2020,8,2020_08_DAL_PHI,PHI,00-0032950,C.Wentz,56,0.5892857142857143,0.5564906606450677,3.279505364064659
2020,8,2020_08_IND_DET,DET,00-0026498,M.Stafford,59,0.7966101694915254,0.7562907257322538,4.031944375927165
