season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2020,MIN,00-0029604,K.Cousins,16,1,True
2020,NE,00-0027939,C.Newton,15,1,True
2020,NO,00-0020531,D.Brees,14,1,True
2020,NYG,00-0035710,D.Jones,14,1,True
2020,NYJ,00-0034869,S.Darnold,12,1,True
2020,PHI,00-0032950,C.Wentz,12,1,True
2020,PIT,00-0022924,B.Roethlisberger,16,1,True
2020,SEA,00-0029263,R.Wilson,17,1,True
2020,SF,00-0033319,N.Mullens,9,3,True
2020,TB,00-0019596,T.Brady,20,1,True
2020,TEN,00-0029701,R.Tannehill,17,1,True
2020,WAS,00-0023436,A.Smith,8,5,True
2021,ARI,00-0035228,K.Murray,15,1,True
2021,ATL,00-0026143,M.Ryan,17,1,True
2021,BAL,00-0034796,L.Jackson,11,1,True
2021,BUF,00-0034857,J.Allen,18,1,True
2021,CAR,00-0034869,S.Darnold,12,1,True
2021,CHI,00-0036945,J.Fields,10,2,True
2021,CIN,00-0036442,J.Burrow,20,1,True
2021,CLE,00-0034855,B.Mayfield,14,1,True
2021,DAL,00-0033077,D.Prescott,17,1,True
2021,DEN,00-0031237,T.Bridgewater,13,1,True
2021,DET,00-0033106,J.Goff,14,1,True
2021,GB,00-0023459,A.Rodgers,9,1,True
2021,HOU,00-0036898,D.Mills,12,2,True
2021,IND,00-0032950,C.Wentz,17,1,True
2021,JAX,00-0036971,T.Lawrence,17,1,True
2021,KC,00-0033873,P.Mahomes,20,1,True
2021,LA,00-0026498,M.Stafford,21,1,True
2021,LAC,00-0036355,J.Herbert,17,1,True
2021,LV,00-0031280,D.Carr,18,1,True
2021,MIA,00-0036212,T.Tagovailoa,11,1,True
2021,MIN,00-0029604,K.Cousins,16,1,True
2021,NE,00-0036972,M.Jones,18,1,True
2021,NO,00-0031503,J.Winston,6,1,True
2021,NYG,00-0035710,D.Jones,10,1,True
2021,NYJ,00-0037013,Z.Wilson,12,1,True
2021,PHI,00-0036389,J.Hurts,16,1,True
2021,PIT,00-0022924,B.Roethlisberger,17,1,True
2021,SEA,00-0029263,R.Wilson,14,1,True
2021,SF,00-0031345,J.Garoppolo,17,1,True
2021,TB,00-0019596,T.Brady,19,1,True
2021,TEN,00-0029701,R.Tannehill,18,1,True
2021,WAS,00-0031800,T.Heinicke,16,1,True
2022,ARI,00-0035228,K.Murray,10,1,True
2022,ATL,00-0032268,M.Mariota,13,1,True
2022,BAL,00-0034796,L.Jackson,11,1,True
2022,BUF,00-0034857,J.Allen,18,1,True
2022,CAR,00-0034855,B.Mayfield,7,1,True
2022,CHI,00-0036945,J.Fields,15,1,True
2022,CIN,00-0036442,J.Burrow,19,1,True
2022,CLE,00-0033119,J.Brissett,11,1,True
2022,DAL,00-0033077,D.Prescott,14,1,True
2022,DEN,00-0029263,R.Wilson,15,1,True
2022,DET,00-0033106,J.Goff,17,1,True
2022,GB,00-0023459,A.Rodgers,17,1,True
2022,HOU,00-0036898,D.Mills,15,1,True
2022,IND,00-0026143,M.Ryan,12,1,True
2022,JAX,00-0036971,T.Lawrence,19,1,True
2022,KC,00-0033873,P.Mahomes,20,1,True
2022,LA,00-0026498,M.Stafford,9,1,True
2022,LAC,00-0036355,J.Herbert,18,1,True
2022,LV,00-0031280,D.Carr,15,1,True
2022,MIA,00-0036212,T.Tagovailoa,12,1,True
2022,MIN,00-0029604,K.Cousins,18,1,True
2022,NE,00-0036972,M.Jones,13,1,True
2022,NO,00-0027973,A.Dalton,14,4,True
2022,NYG,00-0035710,D.Jones,18,1,True
2022,NYJ,00-0037013,Z.Wilson,9,4,True
2022,PHI,00-0036389,J.Hurts,18,1,True
2022,PIT,00-0038102,K.Pickett,11,5,True
2022,SEA,00-0030565,G.Smith,18,1,True
2022,SF,00-0031345,J.Garoppolo,10,2,True
2022,TB,00-0019596,T.Brady,18,1,True
2022,TEN,00-0029701,R.Tannehill,12,1,True
2022,WAS,00-0031800,T.Heinicke,9,7,True
2023,ARI,00-0033949,J.Dobbs,8,1,True
2023,ATL,00-0038122,D.Ridder,12,1,True
2023,BAL,00-0034796,L.Jackson,18,1,True
2023,BUF,00-0034857,J.Allen,19,1,True
2023,CAR,00-0039150,B.Young,16,1,True
2023,CHI,00-0036945,J.Fields,13,1,True
2023,CIN,00-0036442,J.Burrow,9,1,True
2023,CLE,00-0026158,J.Flacco,6,13,True
2023,DAL,00-0033077,D.Prescott,18,1,True
2023,DEN,00-0029263,R.Wilson,15,1,True
2023,DET,00-0033106,J.Goff,20,1,True
2023,GB,00-0036264,J.Love,19,1,True
2023,HOU,00-0039163,C.Stroud,17,1,True
2023,IND,00-0035289,G.Minshew,15,2,True
2023,JAX,00-0036971,T.Lawrence,16,1,True
2023,KC,00-0033873,P.Mahomes,20,1,True
2023,LA,00-0026498,M.Stafford,16,1,True
2023,LAC,00-0036355,J.Herbert,12,1,True
2023,LV,00-0038579,A.O'Connell,10,4,True
2023,MIA,00-0036212,T.Tagovailoa,18,1,True
2023,MIN,00-0029604,K.Cousins,8,1,True
2023,NE,00-0036972,M.Jones,11,1,True
2023,NO,00-0031280,D.Carr,16,1,True
2023,NYG,00-0038476,T.DeVito,7,9,True
2023,NYJ,00-0037013,Z.Wilson,11,1,True
2023,PHI,00-0036389,J.Hurts,17,1,True
2023,PIT,00-0038102,K.Pickett,10,1,True
2023,SEA,00-0030565,G.Smith,15,1,True
