season,posteam,qb_id,qb_name,plays,games,raw_pass_rate,expected_pass_rate,proe
2010,CLE,00-0027688,C.McCoy,433,8,0.5935334872979214,0.6188141314213876,-2.528064412346613
2010,DAL,00-0009311,J.Kitna,574,10,0.60801393728223,0.6315430687701504,-2.3529131487920516
2010,DEN,00-0023541,K.Orton,820,13,0.6524390243902439,0.6293991532790043,2.30398711112396
2010,DET,00-0020679,Sh.Hill,598,9,0.677257525083612,0.6558723196567949,2.1385205426817158
2010,GB,00-0023459,A.Rodgers,1065,18,0.6272300469483568,0.5354706577047216,9.175938924363521
2010,HOU,00-0022787,M.Schaub,1011,16,0.5984174085064293,0.62550199101656,-2.7084582510130697
2010,IND,00-0010346,P.Manning,1115,17,0.6421524663677131,0.6035914519225402,3.856101444517283
2010,JAX,00-0021231,D.Garrard,786,13,0.5076335877862596,0.569187189666815,-6.155360188055546
2010,KC,00-0023662,M.Cassel,1018,16,0.4911591355599214,0.5637455375641877,-7.25864020042663
2010,LA,00-0027854,S.Bradford,1023,16,0.6080156402737048,0.600176329796411,0.7839310477293832
2010,LAC,00-0022942,P.Rivers,1009,16,0.5738354806739346,0.593385280712671,-1.9549800038736451
2010,LV,00-0023460,J.Campbell,661,11,0.5083207261724659,0.5769915771071832,-6.867085093471719
2010,MIA,00-0026197,C.Henne,880,14,0.5840909090909091,0.5934599797961048,-0.936907070519572
2010,MIN,00-0005106,B.Favre,653,11,0.5666156202143952,0.6247413333499687,-5.812571313557362
2010,NE,00-0019596,T.Brady,989,17,0.5743174924165824,0.5546215510012769,1.9695941415305567
2010,NO,00-0020531,D.Brees,1113,17,0.660377358490566,0.600332661231466,6.004469725910009
2010,NYG,00-0022803,E.Manning,1001,16,0.5544455544455544,0.5679642627802821,-1.351870833472772
2010,NYJ,00-0026898,M.Sanchez,1161,18,0.5391903531438416,0.6098664981937942,-7.067614504995272
2010,PHI,00-0020245,M.Vick,712,12,0.6783707865168539,0.6014564003811081,7.691438613574575
2010,PIT,00-0022924,B.Roethlisberger,918,15,0.5751633986928104,0.5848487199087321,-0.9685321215921627
2010,SEA,00-0007091,M.Hasselbeck,854,15,0.6440281030444965,0.5888644140846242,5.5163688959872275
2010,SF,00-0023436,A.Smith,543,10,0.6353591160220995,0.6298613959295645,0.5497720092535019
2010,TB,00-0026993,J.Freeman,893,16,0.593505039193729,0.5902911045120285,0.32139346817005654
2010,TEN,00-0003292,K.Collins,415,8,0.6048192771084338,0.6332124364034957,-2.8393159295061983
2010,WAS,00-0011022,D.McNabb,781,13,0.6555697823303457,0.6115427490099596,4.4027033320386035
2011,ARI,00-0025423,K.Kolb,468,8,0.6047008547008547,0.5924124705812169,1.2288384119637756
2011,ATL,00-0026143,M.Ryan,1011,16,0.6211671612265084,0.6105852022704427,1.05819589560658
2011,BAL,00-0026158,J.Flacco,1128,18,0.575354609929078,0.5832737648747333,-0.7919154945655283
2011,BUF,00-0023682,R.Fitzpatrick,949,16,0.6364594309799789,0.6130354179597378,2.34240130202411
2011,CAR,00-0027939,C.Newton,954,16,0.6079664570230608,0.593910888302095,1.4055568720965765
2011,CHI,00-0024226,J.Cutler,593,10,0.5699831365935919,0.56083368489591,0.9149451697681846
2011,CIN,00-0027973,A.Dalton,1017,17,0.5948869223205506,0.5969552015162265,-0.20682791956758076
2011,CLE,00-0027688,C.McCoy,809,13,0.6402966625463535,0.6396567705047072,0.06398920416463585
2011,DAL,00-0021678,T.Romo,913,15,0.6133625410733844,0.5937366907057421,1.9625850367642377
2011,DEN,00-0027876,T.Tebow,827,13,0.45102781136638453,0.6430848057110408,-19.205699434465625
2011,DET,00-0026498,M.Stafford,1079,17,0.6932344763670065,0.6155939154116311,7.764056095537541
2011,GB,00-0023459,A.Rodgers,919,16,0.661588683351469,0.5543421417803092,10.724654157115987
2011,HOU,00-0022787,M.Schaub,650,10,0.47692307692307695,0.5495872792486961,-7.266420232561918
2011,IND,00-0027134,C.Painter,417,8,0.6067146282973621,0.6244488889507824,-1.7734260653420317
2011,JAX,00-0027948,B.Gabbert,836,14,0.5502392344497608,0.627959939940837,-7.7720705491076245
2011,KC,00-0023662,M.Cassel,537,9,0.5586592178770949,0.6166315222890906,-5.797230441199557
2011,LA,00-0027854,S.Bradford,621,10,0.6280193236714976,0.6515838433051071,-2.356451963360951
2011,LAC,00-0022942,P.Rivers,1026,16,0.5974658869395711,0.5814188889592712,1.6046997980299982
2011,LV,00-0021429,C.Palmer,537,9,0.5679702048417132,0.5869984009981266,-1.9028196156413417
2011,MIA,00-0025708,M.Moore,731,13,0.5321477428180574,0.5559428536502591,-2.3795110832201636
2011,MIN,00-0027950,C.Ponder,460,8,0.6021739130434782,0.6455572388580312,-4.338332581455293
2011,NE,00-0019596,T.Brady,1238,19,0.6082390953150242,0.5425750348921594,6.566406042286479
2011,NO,00-0020531,D.Brees,1236,18,0.6456310679611651,0.5672394266272187,7.839164133394637
2011,NYG,00-0022803,E.Manning,1270,20,0.6204724409448819,0.6024186349143897,1.8053806030492143
2011,NYJ,00-0026898,M.Sanchez,999,16,0.5855855855855856,0.6105279657594465,-2.4942380173860847
2011,PHI,00-0020245,M.Vick,779,13,0.6148908857509627,0.5439976633518016,7.089322239916116
2011,PIT,00-0022924,B.Roethlisberger,985,16,0.617258883248731,0.5821950160609889,3.506386718774205
2011,SEA,00-0024279,T.Jackson,883,15,0.5730464326160816,0.6059850032735586,-3.2938570657477104
2011,SF,00-0023436,A.Smith,102,2,0.5392156862745098,0.5791555038269829,-3.993981755247303
2011,SF,00-0023436,Alex Smith,950,16,0.5494736842105263,0.5712194729714017,-2.17457887608754
2011,TB,00-0026993,J.Freeman,860,15,0.6802325581395349,0.6515842764096897,2.8648281729845113
2011,TEN,00-0007091,M.Hasselbeck,856,15,0.6156542056074766,0.5932393174957936,2.2414888111682973
2011,WAS,00-0022121,R.Grossman,799,13,0.5857321652065082,0.5978869763185481,-1.2154811112039976
2012,ARI,00-0027754,J.Skelton,277,5,0.7111913357400722,0.6705138415420959,4.067749419797629
2012,ATL,00-0026143,M.Ryan,1125,18,0.6533333333333333,0.5726070605574383,8.072627277589506
2012,BAL,00-0026158,J.Flacco,1187,19,0.5762426284751474,0.5693860208096254,0.6856607665522017
2012,BUF,00-0023682,R.Fitzpatrick,946,16,0.5856236786469344,0.5983277266967183,-1.2704048049783858
2012,CAR,00-0027939,C.Newton,957,16,0.5694879832810867,0.569771826477447,-0.028384319636017053
2012,CHI,00-0024226,J.Cutler,843,14,0.564650059311981,0.572022004704812,-0.7371945392830941
2012,CIN,00-0027973,A.Dalton,1012,17,0.6106719367588933,0.5692324523258174,4.143948443307589
2012,CLE,00-0029677,B.Weeden,887,15,0.6155580608793687,0.5889797955667422,2.6578265312626503
2012,DAL,00-0021678,T.Romo,1015,16,0.6758620689655173,0.6360583412731663,3.9803727692350965
2012,DEN,00-0010346,P.Manning,1122,17,0.5784313725490197,0.5394051736768555,3.9026198872164186
2012,DET,00-0026498,M.Stafford,1122,16,0.67825311942959,0.6473083530159239,3.0944766413666134
2012,GB,00-0023459,A.Rodgers,1118,18,0.631484794275492,0.5621260762071381,6.935871806835393
2012,HOU,00-0022787,M.Schaub,1191,18,0.5507976490344249,0.5758661225228551,-2.5068473488430234
2012,IND,00-0029668,A.Luck,1153,17,0.6478751084128361,0.6231814035846943,2.4693704828141776
2012,JAX,00-0027948,B.Gabbert,443,8,0.654627539503386,0.6422792085641932,1.2348330939192804
2012,KC,00-0023662,M.Cassel,517,8,0.5512572533849129,0.652442183525696,-10.118493014078306
2012,LA,00-0027854,S.Bradford,961,16,0.6160249739854319,0.6297991193547985,-1.3774145369366602
2012,LAC,00-0022942,P.Rivers,967,16,0.594622543950362,0.5897444285521709,0.4878115398191
