season,week,game_id,posteam,qb_id,qb_name,plays,actual_pass_rate,expected_pass_rate,proe
2023,12,2023_12_KC_LV,LV,00-0038579,A.O'Connell,57,0.5964912280701754,0.6730795303980509,-7.65883023278755
2023,12,2023_12_LA_ARI,LA,00-0026498,M.Stafford,66,0.5151515151515151,0.5415088060227308,-2.635729087121559
2023,12,2023_12_MIA_NYJ,MIA,00-0036212,T.Tagovailoa,66,0.48484848484848486,0.5794829488026373,-9.463446395415248
2023,12,2023_12_NE_NYG,NE,00-0036972,M.Jones,36,0.6111111111111112,0.621346583796872,-1.0235472685760922
2023,12,2023_12_NE_NYG,NYG,00-0038476,T.DeVito,49,0.673469387755102,0.6455021962827566,2.7967191472345467
2023,12,2023_12_NO_ATL,ATL,00-0038122,D.Ridder,60,0.38333333333333336,0.5495615029086669,-16.62281695753336
2023,12,2023_12_NO_ATL,NO,00-0031280,D.Carr,64,0.625,0.71609898051247,-9.109898051247
2023,12,2023_12_PIT_CIN,PIT,00-0038102,K.Pickett,65,0.5692307692307692,0.6111653836873862,-4.193461445661692
2023,12,2023_12_SF_SEA,SEA,00-0030565,G.Smith,55,0.6545454545454545,0.6582736150784926,-0.37281605330380524
2023,12,2023_12_SF_SEA,SF,00-0037834,B.Purdy,60,0.5333333333333333,0.5503535711516937,-1.7020237818360329
2023,12,2023_12_TB_IND,IND,00-0035289,G.Minshew,69,0.6521739130434783,0.5855525559273319,6.662135711614637
2023,12,2023_12_TB_IND,TB,00-0034855,B.Mayfield,55,0.6727272727272727,0.6877529591321945,-1.5025686404921792
2023,12,2023_12_WAS_DAL,DAL,00-0033077,D.Prescott,50,0.66,0.5999669328331947,6.003306716680527
2023,12,2023_12_WAS_DAL,WAS,00-0037077,S.Howell,75,0.6533333333333333,0.6214779096841813,3.185542364915212
2023,13,2023_13_ATL_NYJ,ATL,00-0038122,D.Ridder,61,0.47540983606557374,0.6568022108957415,-18.13923748301678
2023,13,2023_13_CAR_TB,CAR,00-0039150,B.Young,66,0.5,0.6528536094860597,-15.285360948605971
2023,13,2023_13_CAR_TB,TB,00-0034855,B.Mayfield,56,0.5357142857142857,0.6027238270533937,-6.700954133910792
2023,13,2023_13_CIN_JAX,JAX,00-0036971,T.Lawrence,52,0.6153846153846154,0.6058883681320227,0.9496247252592673
2023,13,2023_13_CLE_LA,CLE,00-0026158,J.Flacco,68,0.6617647058823529,0.6342615680221249,2.7503137860228035
2023,13,2023_13_CLE_LA,LA,00-0026498,M.Stafford,59,0.6271186440677966,0.6260745858110613,0.10440582567352359
2023,13,2023_13_DEN_HOU,DEN,00-0029263,R.Wilson,57,0.6140350877192983,0.6873458890538466,-7.331080133454842
2023,13,2023_13_DEN_HOU,HOU,00-0039163,C.Stroud,60,0.5666666666666667,0.6129594596723715,-4.629279300570488
2023,13,2023_13_DET_NO,DET,00-0033106,J.Goff,53,0.4716981132075472,0.6123866922450516,-14.068857903750438
2023,13,2023_13_DET_NO,NO,00-0031280,D.Carr,52,0.4423076923076923,0.6077825381205633,-16.54748458128709
2023,13,2023_13_IND_TEN,IND,00-0035289,G.Minshew,66,0.696969696969697,0.6133863171844771,8.358337978521982
2023,13,2023_13_KC_GB,GB,00-0036264,J.Love,63,0.6190476190476191,0.5238025779761966,9.524504107142251
2023,13,2023_13_KC_GB,KC,00-0033873,P.Mahomes,58,0.6379310344827587,0.6561191544450563,-1.8188119962297637
2023,13,2023_13_LAC_NE,LAC,00-0036355,J.Herbert,59,0.6440677966101694,0.5816855974874254,6.238219912274409
2023,13,2023_13_MIA_WAS,MIA,00-0036212,T.Tagovailoa,57,0.42105263157894735,0.5404115747987178,-11.935894321977047
2023,13,2023_13_MIA_WAS,WAS,00-0037077,S.Howell,54,0.5370370370370371,0.6501852856190117,-11.31482485819746
2023,13,2023_13_SEA_DAL,DAL,00-0033077,D.Prescott,77,0.5974025974025974,0.5781225749811569,1.9280022421440521
2023,13,2023_13_SEA_DAL,SEA,00-0030565,G.Smith,61,0.6721311475409836,0.6722311081944919,-0.009996065350829577
2023,13,2023_13_SF_PHI,PHI,00-0036389,J.Hurts,62,0.8064516129032258,0.7093164632397313,9.713514966349448
2023,13,2023_13_SF_PHI,SF,00-0037834,B.Purdy,56,0.5357142857142857,0.5250213472172618,1.0692938497023923
2023,14,2023_14_BUF_KC,BUF,00-0034857,J.Allen,70,0.6857142857142857,0.6179706164768763,6.774366923740932
2023,14,2023_14_BUF_KC,KC,00-0033873,P.Mahomes,62,0.7258064516129032,0.6600101328184528,6.579631879445045
2023,14,2023_14_CAR_NO,CAR,00-0039150,B.Young,78,0.5512820512820513,0.6687690745561551,-11.74870232741038
2023,14,2023_14_CAR_NO,NO,00-0031280,D.Carr,49,0.5306122448979592,0.553097023039448,-2.2484778141488833
2023,14,2023_14_DEN_LAC,DEN,00-0029263,R.Wilson,62,0.5645161290322581,0.5654428871648927,-0.09267581326346244
2023,14,2023_14_DET_CHI,CHI,00-0036945,J.Fields,63,0.6190476190476191,0.5834015064118874,3.5646112635731697
2023,14,2023_14_DET_CHI,DET,00-0033106,J.Goff,62,0.6129032258064516,0.7463490181872922,-13.344579238084055
2023,14,2023_14_GB_NYG,GB,00-0036264,J.Love,66,0.6363636363636364,0.6684788406798334,-3.211520431619702
2023,14,2023_14_GB_NYG,NYG,00-0038476,T.DeVito,54,0.5,0.5522248540763501,-5.222485407635018
2023,14,2023_14_HOU_NYJ,HOU,00-0039163,C.Stroud,44,0.6136363636363636,0.7044264315204187,-9.079006788405506
2023,14,2023_14_HOU_NYJ,NYJ,00-0037013,Z.Wilson,64,0.65625,0.5584647512878291,9.778524871217087
2023,14,2023_14_IND_CIN,IND,00-0035289,G.Minshew,58,0.7241379310344828,0.6732798950939343,5.0858035940548465
2023,14,2023_14_JAX_CLE,CLE,00-0026158,J.Flacco,71,0.647887323943662,0.5838442723935758,6.404305155008611
2023,14,2023_14_JAX_CLE,JAX,00-0036971,T.Lawrence,72,0.7638888888888888,0.7079954948276281,5.589339406126076
2023,14,2023_14_LA_BAL,BAL,00-0034796,L.Jackson,70,0.7571428571428571,0.698822186248643,5.832067089421408
