season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2007,SF,00-0023436,A.Smith,6,1,True
2007,TB,00-0005755,J.Garcia,12,1,True
2007,TEN,00-0024218,V.Young,15,1,True
2007,WAS,00-0023460,J.Campbell,12,1,True
2008,ARI,00-0017200,K.Warner,20,1,True
2008,ATL,00-0026143,M.Ryan,17,1,True
2008,BAL,00-0026158,J.Flacco,19,1,True
2008,BUF,00-0025479,T.Edwards,13,1,True
2008,CAR,00-0004161,J.Delhomme,17,1,True
2008,CHI,00-0023541,K.Orton,14,1,True
2008,CIN,00-0023682,R.Fitzpatrick,12,4,True
2008,CLE,00-0023645,D.Anderson,9,1,True
2008,DAL,00-0021678,T.Romo,13,1,True
2008,DEN,00-0024226,J.Cutler,16,1,True
2008,DET,00-0023578,D.Orlovsky,8,5,True
2008,GB,00-0023459,A.Rodgers,16,1,True
2008,HOU,00-0022787,M.Schaub,10,1,True
2008,IND,00-0010346,P.Manning,16,1,True
2008,JAX,00-0021231,D.Garrard,16,1,True
2008,KC,00-0025604,T.Thigpen,12,2,True
2008,LA,00-0019599,M.Bulger,14,1,True
2008,LAC,00-0022942,P.Rivers,18,1,True
2008,LV,00-0025388,J.Russell,14,1,True
2008,MIA,00-0019559,C.Pennington,17,1,True
2008,MIN,00-0005589,G.Frerotte,11,3,True
2008,NE,00-0023662,M.Cassel,16,1,True
2008,NO,00-0020531,D.Brees,16,1,True
2008,NYG,00-0022803,E.Manning,17,1,True
2008,NYJ,00-0005106,B.Favre,16,1,True
2008,PHI,00-0011022,D.McNabb,18,1,True
2008,PIT,00-0022924,B.Roethlisberger,19,1,True
2008,SEA,00-0022055,S.Wallace,8,7,True
2008,SF,00-0020679,S.Hill,9,8,True
2008,TB,00-0005755,J.Garcia,11,1,True
2008,TEN,00-0003292,K.Collins,15,2,True
2008,WAS,00-0023460,J.Campbell,16,1,True
2009,ARI,00-0017200,K.Warner,16,1,True
2009,ATL,00-0026143,M.Ryan,13,1,True
2009,BAL,00-0026158,J.Flacco,18,1,True
2009,BUF,00-0023682,R.Fitzpatrick,9,6,True
2009,CAR,00-0004161,J.Delhomme,11,1,True
2009,CHI,00-0024226,J.Cutler,16,1,True
2009,CIN,00-0021429,C.Palmer,17,1,True
2009,CLE,00-0025409,B.Quinn,8,1,True
2009,DAL,00-0021678,T.Romo,18,1,True
2009,DEN,00-0023541,K.Orton,16,1,True
2009,DET,00-0026498,M.Stafford,10,1,True
2009,GB,00-0023459,A.Rodgers,17,1,True
2009,HOU,00-0022787,M.Schaub,16,1,True
2009,IND,00-0010346,P.Manning,18,1,True
2009,JAX,00-0021231,D.Garrard,16,1,True
2009,KC,00-0023662,M.Cassel,15,2,True
2009,LA,00-0019599,M.Bulger,7,1,True
2009,LAC,00-0022942,P.Rivers,16,1,True
2009,LV,00-0025388,J.Russell,8,1,True
2009,MIA,00-0026197,C.Henne,14,3,True
2009,MIN,00-0005106,B.Favre,18,1,True
2009,NE,00-0019596,T.Brady,17,1,True
2009,NO,00-0020531,D.Brees,18,1,True
2009,NYG,00-0022803,E.Manning,15,1,True
2009,NYJ,00-0026898,M.Sanchez,18,1,True
2009,PHI,00-0011022,D.McNabb,15,1,True
2009,PIT,00-0022924,B.Roethlisberger,15,1,True
2009,SEA,00-0007091,M.Hasselbeck,13,1,True
2009,SF,00-0023436,A.Smith,11,7,True
2009,TB,00-0026993,J.Freeman,9,9,True
2009,TEN,00-0024218,V.Young,9,8,True
2009,WAS,00-0023460,J.Campbell,16,1,True
2010,ARI,00-0023645,D.Anderson,9,1,True
2010,ATL,00-0026143,M.Ryan,16,1,True
2010,BAL,00-0026158,J.Flacco,18,1,True
2010,BUF,00-0023682,R.Fitzpatrick,13,3,True
2010,CAR,00-0027659,J.Clausen,11,3,True
2010,CHI,00-0024226,J.Cutler,16,1,True
2010,CIN,00-0021429,C.Palmer,16,1,True
2010,CLE,00-0027688,C.McCoy,8,6,True
2010,DAL,00-0009311,J.Kitna,10,7,True
2010,DEN,00-0023541,K.Orton,13,1,True
2010,DET,00-0020679,Sh.Hill,9,2,True
2010,GB,00-0023459,A.Rodgers,18,1,True
2010,HOU,00-0022787,M.Schaub,16,1,True
2010,IND,00-0010346,P.Manning,17,1,True
2010,JAX,00-0021231,D.Garrard,13,1,True
2010,KC,00-0023662,M.Cassel,16,1,True
2010,LA,00-0027854,S.Bradford,16,1,True
2010,LAC,00-0022942,P.Rivers,16,1,True
2010,LV,00-0023460,J.Campbell,11,1,True
2010,MIA,00-0026197,C.Henne,14,1,True
2010,MIN,00-0005106,B.Favre,11,1,True
2010,NE,00-0019596,T.Brady,17,1,True
2010,NO,00-0020531,D.Brees,17,1,True
2010,NYG,00-0022803,E.Manning,16,1,True
2010,NYJ,00-0026898,M.Sanchez,18,1,True
2010,PHI,00-0020245,M.Vick,12,1,True
2010,PIT,00-0022924,B.Roethlisberger,15,6,True
2010,SEA,00-0007091,M.Hasselbeck,15,1,True
2010,SF,00-0023436,A.Smith,10,1,True
