season,posteam,qb_id,qb_name,games,plays,actual_pass_rate,expected_pass_rate,proe
2021,KC,00-0033873,P.Mahomes,20,1270,0.6773302749906412,0.5784042670466298,9.892600794401144
2021,NYJ,00-0034401,M.White,3,147,0.718164188752424,0.6221748235899746,9.59893651624495
2021,TB,00-0019596,T.Brady,19,1224,0.6888059108664168,0.6103147790074314,7.8491131858985455
2021,MIA,00-0033119,J.Brissett,5,282,0.7281503267973857,0.6514184735646483,7.673185323273726
2021,BAL,00-0026300,J.Johnson,1,57,0.7368421052631579,0.6695011655489603,6.734093971419752
2021,BUF,00-0034857,Jos.Allen,1,72,0.625,0.5616584776176347,6.334152238236533
2021,MIN,00-0032245,S.Mannion,1,49,0.7959183673469388,0.7418579416615623,5.406042568537654
2021,GB,00-0023459,A.Rodgers,9,523,0.6293624095766494,0.5783017590209996,5.106065055564981
2021,NYJ,00-0026158,J.Flacco,1,57,0.7017543859649122,0.6543694039185842,4.738498204632809
2021,ARI,00-0027688,C.McCoy,3,173,0.5928596866096866,0.551073810853607,4.178587575607975
2021,GB,00-0023459,Aa.Rodgers,8,454,0.6113349791442564,0.5698771380512236,4.145784109303268
2021,LAC,00-0036355,J.Herbert,17,1098,0.6688466386719528,0.6280715224491459,4.077511622280701
2021,BUF,00-0034857,J.Allen,18,1129,0.6450413345587985,0.6056236714256472,3.941766313315135
2021,NYG,00-0035710,D.Jones,11,611,0.6406430208845266,0.6177416178048616,2.2901403079665004
2021,LA,00-0026498,M.Stafford,21,1264,0.6166091790453851,0.5940118688376449,2.2597310207740224
2021,LV,00-0031280,D.Carr,18,1116,0.6479860350388945,0.6279476954033909,2.003833963550365
2021,CHI,00-0027973,A.Dalton,6,361,0.6519164209956371,0.6372651522868584,1.4651268708778595
2021,CIN,00-0036442,J.Burrow,20,1197,0.6188017361153793,0.6078950782903771,1.0906657825002122
2021,DAL,00-0033077,D.Prescott,17,1089,0.6277181629296773,0.617849100543995,0.9869062385682204
2021,MIA,00-0036212,T.Tagovailoa,12,694,0.5986315692915881,0.5956356885169987,0.2995880774589474
2021,CAR,00-0034869,S.Darnold,11,682,0.6152475479895674,0.6158487856361488,-0.060123764658138026
2021,ARI,00-0035228,K.Murray,15,936,0.60955739953529,0.6114451744883083,-0.18877749530183555
2021,BAL,00-0034796,L.Jackson,12,750,0.6215003512236813,0.6262089358518698,-0.4708584628188494
2021,PIT,00-0022924,B.Roethlisberger,17,1049,0.6444586222530202,0.653737868546917,-0.9279246293896761
2021,ATL,00-0026143,M.Ryan,17,959,0.6276588725539792,0.639293314585551,-1.1634442031571863
2021,DAL,00-0033662,C.Rush,1,66,0.6666666666666666,0.6807001833662842,-1.4033516699617559
2021,JAX,00-0036971,T.Lawrence,17,997,0.6578091620199843,0.6738937404151722,-1.6084578395188052
2021,NYJ,00-0037013,Z.Wilson,13,700,0.6275147157641879,0.6442516273125999,-1.6736911548411906
2021,SEA,00-0029263,R.Wilson,14,744,0.6052983380353929,0.62225778246217,-1.6959444426777104
2021,CAR,00-0033275,P.Walker,1,59,0.4915254237288136,0.5118884553785547,-2.0363031649741075
2021,CIN,00-0032434,B.Allen,1,51,0.6470588235294118,0.6695287899643767,-2.2469966434964945
2021,WAS,00-0031800,T.Heinicke,15,915,0.6013775028572333,0.6248742263121085,-2.349672345487512
2021,NO,00-0031503,J.Winston,7,349,0.5581135239029976,0.5827911336572413,-2.467760975424381
2021,PIT,00-0034771,M.Rudolph,1,80,0.6625,0.6887662123888731,-2.62662123888731
2021,HOU,00-0028118,T.Taylor,4,209,0.6043020504086077,0.6332768342898565,-2.8974783881248722
2021,MIN,00-0029604,K.Cousins,16,991,0.5973162939266904,0.6264946130362532,-2.9178319109562825
