season,posteam,qb_id,qb_name,plays,games,called_pass_rate,expected_pass_rate,proe
2020,BAL,00-0034796,L.Jackson,988,17,0.5091093117408907,0.6033509888145168,-9.424167707362608
2020,BUF,00-0034857,J.Allen,1115,19,0.6708520179372197,0.5670157390291648,10.652686186769618
2020,CAR,00-0031237,T.Bridgewater,866,15,0.6339491916859122,0.626662857436917,1.075053748225161
2020,CHI,00-0033869,M.Trubisky,567,9,0.5925925925925926,0.6156276577206515,-2.3035065128058982
2020,CIN,00-0036442,J.Burrow,668,10,0.6586826347305389,0.6226435653324389,3.6039069398099968
2020,CLE,00-0034855,B.Mayfield,1083,18,0.5447830101569714,0.578237083082673,-3.3454072925701586
2020,DAL,00-0027973,A.Dalton,567,9,0.6261022927689595,0.6386780029974182,-1.2575710228458703
2020,DEN,00-0035704,D.Lock,773,12,0.6054333764553687,0.6510757832157812,-4.30550846388084
2020,DET,00-0026498,M.Stafford,891,15,0.632996632996633,0.64666497216515,-1.254600471284922
2020,GB,00-0023459,A.Rodgers,1094,18,0.5923217550274223,0.5659652037300864,2.909878164468507
2020,HOU,00-0033537,D.Watson,912,16,0.706140350877193,0.6522565577281312,5.388379314906176
2020,IND,00-0022942,P.Rivers,1057,17,0.5704824976348155,0.6157716246182584,-4.434305318968693
2020,JAX,00-0035289,G.Minshew,182,3,0.6923076923076923,0.6682944322352881,2.4013260072404212
2020,JAX,00-0035289,G.Minshew II,338,6,0.7248520710059172,0.7245887502939743,0.026332071194281943
2020,KC,00-0033873,P.Mahomes,1118,18,0.6779964221824687,0.5791858923246614,9.881052985780727
2020,LA,00-0033106,J.Goff,1089,17,0.5895316804407713,0.6027595597799077,-1.3227879339136368
2020,LAC,00-0036355,J.Herbert,1025,15,0.6234146341463415,0.6320802083775038,-0.8665574231162304
2020,LV,00-0031280,D.Carr,929,15,0.589881593110872,0.613578880880433,-2.154443523995939
2020,MIA,00-0036212,T.Tagovailoa,524,9,0.6106870229007634,0.5902765499150651,2.231886993226318
2020,MIN,00-0029604,K.Cousins,1000,16,0.558,0.6102505154497921,-5.225051544979214
2020,NE,00-0027939,C.Newton,817,15,0.5018359853121175,0.625647910103439,-12.258793458324313
2020,NO,00-0020531,D.Brees,831,14,0.5691937424789411,0.6028799187486137,-3.248280683525633
