team,qb_name,first_start_season,age_at_first_start,era
NYJ,G.Smith,2013,23.014373716632445,2010s
NYJ,J.McCown,2017,38.28336755646817,2010s
NYJ,M.Sanchez,2009,22.926762491444215,2000s
NYJ,R.Fitzpatrick,2015,32.889801505817935,2010s
NYJ,S.Darnold,2018,21.360711841204655,2010s
NYJ,V.Testaverde,2000,36.92265571526352,2000s
NYJ,Z.Wilson,2021,22.20123203285421,2020s
PHI,C.Wentz,2016,23.79192334017796,2010s
PHI,D.McNabb,2000,23.887748117727583,2000s
PHI,J.Hurts,2021,23.189596167008897,2020s
PHI,M.Sanchez,2014,27.926078028747433,2010s
PHI,M.Vick,2010,30.302532511978097,2010s
PHI,N.Foles,2013,24.733744010951405,2010s
PHI,S.Bradford,2015,27.93429158110883,2010s
PIT,B.Roethlisberger,2004,22.622861054072555,2000s
PIT,K.Pickett,2022,24.358658453114305,2020s
PIT,K.Stewart,2000,27.99726214921287,2000s
PIT,M.Rudolph,2019,24.246406570841888,2010s
PIT,R.Wilson,2024,35.87679671457906,2020s
PIT,R.Wilson,2024,35.87679671457906,2020s
PIT,R.Wilson,2024,35.87679671457906,2020s
PIT,T. Maddox,2003,32.11772758384668,2000s
PIT,T.Maddox,2002,31.11841204654346,2000s
SEA,G.Smith,2022,32.01368925393566,2020s
SEA,G.Smith,2022,32.01368925393566,2020s
SEA,J.Kitna,2000,28.06570841889117,2000s
SEA,M.Hasselbeck,2001,26.05612594113621,2000s
SEA,R.Wilson,2012,23.876796714579054,2010s
SEA,R.Wilson,2012,23.876796714579054,2010s
SEA,R.Wilson,2012,23.876796714579054,2010s
SEA,S.Wallace,2008,28.191649555099247,2000s
SEA,T.Jackson,2011,28.484599589322382,2010s
SEA,T.Jackson,2011,28.484599589322382,2010s
SEA,T.Jackson,2011,28.484599589322382,2010s
SEA,T.Jackson,2011,28.484599589322382,2010s
SEA,T.Jackson,2011,28.484599589322382,2010s
SF,A.Smith,2005,21.440109514031484,2000s
SF,A.Smith,2005,21.440109514031484,2000s
SF,A.Smith,2005,21.440109514031484,2000s
SF,A.Smith,2005,21.440109514031484,2000s
SF,A.Smith,2005,21.440109514031484,2000s
SF,A.Smith,2005,21.440109514031484,2000s
