player_norm,team,season,age_at_bench
D.Jones,NYG,2024,29.845311430527037
D.Jones,NYG,2024,29.763175906913073
D.Jones,NYG,2024,24.147843942505133
D.Jones,NYG,2024,44.17796030116359
D.Jones,NYG,2024,27.67419575633128
D.Kizer,CLE,2017,21.686516084873375
D.Lock,DEN,2020,23.84394250513347
D.Maye,NE,2024,22.12183436002738
D.Mills,HOU,2022,23.890485968514717
D.Orlovsky,DET,2008,25.13347022587269
D.Prescott,DAL,2019,26.11088295687885
D.Prescott,DAL,2024,31.1129363449692
D.Ridder,ATL,2023,24.027378507871322
D.Stanton,ARI,2014,30.354551676933607
D.Stanton,ARI,2014,20.56399726214921
D.Watson,CLE,2023,27.98904859685147
D.Watson,CLE,2023,35.520876112251884
D.Watson,HOU,2017,21.99041752224504
D.Watson,HOU,2018,22.986995208761122
D.Watson,HOU,2019,23.98631074606434
D.Watson,HOU,2020,24.99110198494182
D.Watson,HOU,2020,32.52292950034223
E.Manning,NYG,2018,37.68104038329911
E.Manuel,BUF,2013,23.474332648870636
G.Minshew,IND,2023,27.33744010951403
G.Minshew,LV,2024,28.314852840520192
G.Smith,NYJ,2013,22.913073237508556
G.Smith,NYJ,2014,23.90965092402464
G.Smith,NYJ,2014,22.913073237508556
G.Smith,SEA,2022,31.923340177960302
G.Smith,SEA,2023,32.917180013689254
G.Smith,SEA,2024,33.91375770020534
G.Smith,SEA,2024,32.917180013689254
J.Allen,BUF,2018,25.976728268309376
J.Allen,BUF,2018,27.055441478439427
J.Allen,BUF,2018,28.687200547570157
J.Allen,BUF,2018,23.665982203969882
J.Allen,BUF,2018,26.713210130047912
J.Allen,BUF,2019,26.954140999315538
J.Allen,BUF,2019,28.032854209445585
J.Allen,BUF,2019,29.66461327857632
J.Allen,BUF,2019,24.643394934976044
J.Allen,BUF,2019,27.690622861054074
J.Allen,BUF,2020,27.969883641341546
J.Allen,BUF,2020,29.048596851471594
J.Allen,BUF,2020,30.680355920602327
J.Allen,BUF,2020,25.659137577002053
J.Allen,BUF,2020,28.706365503080082
J.Allen,BUF,2021,28.966461327857633
J.Allen,BUF,2021,30.04517453798768
J.Allen,BUF,2021,31.67693360711841
J.Allen,BUF,2021,26.65571526351814
J.Allen,BUF,2021,29.702943189596166
J.Allen,BUF,2022,29.95482546201232
J.Allen,BUF,2022,31.033538672142367
J.Allen,BUF,2022,32.6652977412731
J.Allen,BUF,2022,27.644079397672826
J.Allen,BUF,2022,30.691307323750856
J.Allen,BUF,2023,30.962354551676935
J.Allen,BUF,2023,32.04106776180698
J.Allen,BUF,2023,33.672826830937716
J.Allen,BUF,2023,28.65160848733744
J.Allen,BUF,2023,31.698836413415467
J.Allen,BUF,2024,31.956194387405887
J.Allen,BUF,2024,33.034907597535934
J.Allen,BUF,2024,34.666666666666664
J.Allen,BUF,2024,29.645448323066393
J.Allen,BUF,2024,32.69267624914442
J.Allen,BUF,2024,28.301163586584533
J.Brissett,CLE,2022,29.749486652977414
J.Brissett,IND,2017,24.76659822039699
J.Brissett,IND,2019,26.740588637919235
J.Burrow,CIN,2024,27.745379876796715
J.Campbell,LV,2010,10.056125941136209
J.Campbell,LV,2010,6.548939082819986
J.Campbell,WAS,2007,7.047227926078029
J.Campbell,WAS,2008,8.035592060232718
