season,team,qb_name,first_playoff_game,game_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2002,PHI,D.McNabb,2002_19_ATL_PHI,2003-01-11,D.McNabb,PHI,1999.0,PHI,True
2002,PIT,T.Maddox,2002_18_CLE_PIT,2003-01-05,T.Maddox,,,PIT,False
2002,SF,J.Garcia,2002_18_NYG_SF,2003-01-05,J.Garcia,,,SF,False
2002,TB,B.Johnson,2002_19_SF_TB,2003-01-12,B.Johnson,MIN,1992.0,TB,False
2002,TEN,S.McNair,2002_19_PIT_TEN,2003-01-11,S.McNair,TEN,1995.0,TEN,True
2003,BAL,A.Wright,2003_18_TEN_BAL,2004-01-03,A.Wright,PIT,1999.0,BAL,False
2003,CAR,J.Delhomme,2003_18_DAL_CAR,2004-01-03,J.Delhomme,,,CAR,False
2003,DAL,Q.Carter,2003_18_DAL_CAR,2004-01-03,Q.Carter,,,DAL,False
2003,DEN,J.Plummer,2003_18_DEN_IND,2004-01-04,J.Plummer,ARI,1997.0,DEN,False
2003,GB,B.Favre,2003_18_SEA_GB,2004-01-04,B.Favre,ATL,1991.0,GB,False
2003,IND,P.Manning,2003_18_DEN_IND,2004-01-04,P.Manning,IND,1998.0,IND,True
2003,KC,T. Green,2003_19_IND_KC,2004-01-11,T. Green,,,KC,False
2003,LA,M.Bulger,2003_19_CAR_STL,2004-01-10,M.Bulger,NO,2000.0,LAR,False
2003,NE,T.Brady,2003_19_TEN_NE,2004-01-10,T.Brady,NE,2000.0,NE,True
2003,PHI,D.McNabb,2003_19_GB_PHI,2004-01-11,D.McNabb,PHI,1999.0,PHI,True
2003,SEA,M.Hasselbeck,2003_18_SEA_GB,2004-01-04,M.Hasselbeck,GB,1998.0,SEA,False
2003,TEN,S.McNair,2003_18_TEN_BAL,2004-01-03,S.McNair,TEN,1995.0,TEN,True
2004,ATL,M.Vick,2004_19_STL_ATL,2005-01-15,M.Vick,ATL,2001.0,ATL,True
2004,DEN,J.Plummer,2004_18_DEN_IND,2005-01-09,J.Plummer,ARI,1997.0,DEN,False
2004,GB,B.Favre,2004_18_MIN_GB,2005-01-09,B.Favre,ATL,1991.0,GB,False
2004,IND,P.Manning,2004_18_DEN_IND,2005-01-09,P.Manning,IND,1998.0,IND,True
2004,LA,M.Bulger,2004_18_STL_SEA,2005-01-08,M.Bulger,NO,2000.0,LAR,False
2004,LAC,D.Brees,2004_18_NYJ_SD,2005-01-08,D.Brees,LAC,2001.0,LAC,True
2004,MIN,D.Culpepper,2004_18_MIN_GB,2005-01-09,D.Culpepper,MIN,1999.0,MIN,True
2004,NE,T.Brady,2004_19_IND_NE,2005-01-16,T.Brady,NE,2000.0,NE,True
2004,NYJ,C.Pennington,2004_18_NYJ_SD,2005-01-08,C.Pennington,NYJ,2000.0,NYJ,True
2004,PHI,D.McNabb,2004_19_MIN_PHI,2005-01-16,D.McNabb,PHI,1999.0,PHI,True
2004,PIT,B.Roethlisberger,2004_19_NYJ_PIT,2005-01-15,B.Roethlisberger,PIT,2004.0,PIT,True
2004,SEA,M.Hasselbeck,2004_18_STL_SEA,2005-01-08,M.Hasselbeck,GB,1998.0,SEA,False
2005,CAR,J.Delhomme,2005_18_CAR_NYG,2006-01-08,J.Delhomme,,,CAR,False
2005,CHI,R.Grossman,2005_19_CAR_CHI,2006-01-15,R.Grossman,CHI,2003.0,CHI,True
2005,CIN,J.Kitna,2005_18_PIT_CIN,2006-01-08,J.Kitna,,,CIN,False
2005,DEN,J.Plummer,2005_19_NE_DEN,2006-01-14,J.Plummer,ARI,1997.0,DEN,False
2005,IND,P.Manning,2005_19_PIT_IND,2006-01-15,P.Manning,IND,1998.0,IND,True
2005,JAX,B.Leftwich,2005_18_JAX_NE,2006-01-07,B.Leftwich,JAX,2003.0,JAX,True
2005,NE,T.Brady,2005_18_JAX_NE,2006-01-07,T.Brady,NE,2000.0,NE,True
2005,NYG,E.Manning,2005_18_CAR_NYG,2006-01-08,E.Manning,LAC,2004.0,NYG,False
2005,PIT,B.Roethlisberger,2005_18_PIT_CIN,2006-01-08,B.Roethlisberger,PIT,2004.0,PIT,True
2005,SEA,M.Hasselbeck,2005_19_WAS_SEA,2006-01-14,M.Hasselbeck,GB,1998.0,SEA,False
2005,TB,C.Simms,2005_18_WAS_TB,2006-01-07,C.Simms,TB,2003.0,TB,True
2005,WAS,M.Brunell,2005_18_WAS_TB,2006-01-07,M.Brunell,GB,1993.0,WAS,False
