team,qb_name,first_season,last_season,tenure_len,first_bench_season,replaced_by,age_at_first_start,age_at_first_bench
LV,J.McCown,2007,2007,1,2008.0,J.Russell,28.28,29.28
LV,J.Russell,2008,2009,2,2010.0,J.Campbell,23.18,25.18
LV,J.Campbell,2010,2010,1,2011.0,C.Palmer,28.79,29.79
LV,C.Palmer,2011,2012,2,2013.0,T.Pryor,31.8,33.8
LV,T.Pryor,2013,2013,1,2014.0,D.Carr,24.32,25.32
LV,D.Carr,2014,2022,9,2023.0,A.O'Connell,23.55,32.55
LV,A.O'Connell,2023,2023,1,2024.0,G.Minshew,25.12,26.12
LV,G.Minshew,2024,2024,1,,,28.42,
MIA,J.Fiedler,2000,2003,4,2004.0,A.Feeley,28.8,32.8
MIA,A.Feeley,2004,2004,1,2005.0,G.Frerotte,27.42,28.42
MIA,G.Frerotte,2005,2005,1,2006.0,J.Harrington,34.21,35.21
MIA,J.Harrington,2006,2006,1,2007.0,C.Lemon,27.98,28.98
MIA,C.Lemon,2007,2007,1,2008.0,C.Pennington,28.16,29.17
MIA,C.Pennington,2008,2008,1,2009.0,C.Henne,32.3,33.3
MIA,C.Henne,2009,2010,2,2011.0,M.Moore,24.29,26.29
MIA,M.Moore,2011,2011,1,2012.0,R.Tannehill,27.18,28.18
MIA,R.Tannehill,2012,2016,5,2017.0,J.Cutler,24.22,29.22
MIA,J.Cutler,2017,2017,1,2018.0,R.Tannehill,34.46,35.46
MIA,R.Tannehill,2018,2018,1,2019.0,R.Fitzpatrick,24.22,31.22
MIA,R.Fitzpatrick,2019,2019,1,2020.0,T.Tagovailoa,36.89,37.89
MIA,T.Tagovailoa,2020,2024,5,,,22.62,
MIN,D.Culpepper,2000,2004,5,2005.0,B.Johnson,23.71,28.71
MIN,B.Johnson,2005,2006,2,2007.0,T.Jackson,37.09,39.09
MIN,T.Jackson,2007,2007,1,2008.0,G.Frerotte,24.48,25.49
MIN,G.Frerotte,2008,2008,1,2009.0,B.Favre,37.21,38.21
MIN,B.Favre,2009,2010,2,2011.0,C.Ponder,40.01,42.01
MIN,C.Ponder,2011,2013,3,2014.0,T.Bridgewater,23.64,26.64
MIN,T.Bridgewater,2014,2015,2,2016.0,S.Bradford,21.93,23.93
MIN,S.Bradford,2016,2016,1,2017.0,C.Keenum,28.94,29.94
MIN,C.Keenum,2017,2017,1,2018.0,K.Cousins,29.66,30.66
