season,team,qb_name,starts,first_start_date,player_norm,draft_team,draft_season,team_canon,drafted_by_team
2003,TEN,S.McNair,13,2003-09-07,S.McNair,TEN,1995.0,TEN,True
2003,WAS,P.Ramsey,10,2003-09-04,P.Ramsey,WAS,2002.0,WAS,True
2004,ARI,J.McCown,13,2004-09-12,J.McCown,ARI,2002.0,ARI,True
2004,ATL,M.Vick,14,2004-09-12,M.Vick,ATL,2001.0,ATL,True
2004,BAL,K.Boller,16,2004-09-12,K.Boller,BAL,2003.0,BAL,True
2004,BUF,D.Bledsoe,16,2004-09-12,D.Bledsoe,NE,1993.0,BUF,False
2004,CAR,J.Delhomme,16,2004-09-13,J.Delhomme,,,CAR,False
2004,CHI,C.Krenzel,5,2004-10-24,C.Krenzel,CHI,2004.0,CHI,True
2004,CIN,C.Palmer,13,2004-09-12,C.Palmer,CIN,2003.0,CIN,True
2004,CLE,J.Garcia,10,2004-09-12,J.Garcia,,,CLE,False
2004,DAL,V.Testaverde,16,2004-09-12,V.Testaverde,TB,1987.0,DAL,False
2004,DEN,J.Plummer,16,2004-09-12,J.Plummer,ARI,1997.0,DEN,False
2004,DET,J.Harrington,16,2004-09-12,J.Harrington,DET,2002.0,DET,True
2004,GB,B.Favre,15,2004-09-13,B.Favre,ATL,1991.0,GB,False
2004,HOU,D.Carr,16,2004-09-12,D.Carr,LV,2014.0,HOU,False
2004,IND,P.Manning,15,2004-09-09,P.Manning,IND,1998.0,IND,True
2004,JAX,B.Leftwich,14,2004-09-12,B.Leftwich,JAX,2003.0,JAX,True
2004,KC,T.Green,16,2004-09-12,T.Green,WAS,1993.0,KC,False
2004,LA,M.Bulger,13,2004-09-12,M.Bulger,NO,2000.0,LAR,False
2004,LAC,D.Brees,15,2004-09-12,D.Brees,LAC,2001.0,LAC,True
2004,LV,K.Collins,14,2004-09-26,K.Collins,CAR,1995.0,LV,False
2004,MIA,A.Feeley,9,2004-09-11,A.Feeley,PHI,2001.0,MIA,False
2004,MIN,D.Culpepper,16,2004-09-12,D.Culpepper,MIN,1999.0,MIN,True
2004,NE,T.Brady,16,2004-09-09,T.Brady,NE,2000.0,NE,True
2004,NO,A.Brooks,16,2004-09-12,A.Brooks,GB,1999.0,NO,False
2004,NYG,K.Warner,9,2004-09-12,K.Warner,,,NYG,False
2004,NYJ,C.Pennington,13,2004-09-12,C.Pennington,NYJ,2000.0,NYJ,True
2004,PHI,D.McNabb,14,2004-09-12,D.McNabb,PHI,1999.0,PHI,True
2004,PIT,B.Roethlisberger,14,2004-09-19,B.Roethlisberger,PIT,2004.0,PIT,True
2004,SEA,M.Hasselbeck,14,2004-09-12,M.Hasselbeck,GB,1998.0,SEA,False
2004,SF,T.Rattay,9,2004-09-12,T.Rattay,SF,2000.0,SF,True
2004,TB,B.Griese,11,2004-10-10,B.Griese,DEN,1998.0,TB,False
2004,TEN,B.Volek,9,2004-10-03,B.Volek,,,TEN,False
2004,WAS,P.Ramsey,9,2004-09-19,P.Ramsey,WAS,2002.0,WAS,True
2005,ARI,K.Warner,8,2005-09-11,K.Warner,,,ARI,False
2005,ATL,M.Vick,14,2005-09-12,M.Vick,ATL,2001.0,ATL,True
2005,BAL,A.Wright,8,2005-09-11,A.Wright,PIT,1999.0,BAL,False
2005,BUF,J.Losman,9,2005-09-11,J.Losman,BUF,2004.0,BUF,True
2005,CAR,J.Delhomme,16,2005-09-11,J.Delhomme,,,CAR,False
2005,CHI,K.Orton,8,2005-09-11,K.Orton,CHI,2005.0,CHI,True
2005,CIN,C.Palmer,15,2005-09-11,C.Palmer,CIN,2003.0,CIN,True
2005,CLE,T.Dilfer,11,2005-09-11,T.Dilfer,,,CLE,False
2005,DAL,D.Bledsoe,16,2005-09-11,D.Bledsoe,NE,1993.0,DAL,False
2005,DEN,J.Plummer,16,2005-09-11,J.Plummer,ARI,1997.0,DEN,False
2005,DET,J.Harrington,10,2005-09-11,J.Harrington,DET,2002.0,DET,True
2005,GB,B.Favre,16,2005-09-11,B.Favre,ATL,1991.0,GB,False
2005,HOU,D.Carr,15,2005-09-11,D.Carr,LV,2014.0,HOU,False
2005,IND,P.Manning,14,2005-09-11,P.Manning,IND,1998.0,IND,True
2005,JAX,B.Leftwich,10,2005-09-11,B.Leftwich,JAX,2003.0,JAX,True
2005,KC,T.Green,16,2005-09-11,T.Green,WAS,1993.0,KC,False
