season,qb,team,metric,metric_name,source_file,sheet
2021,Kirk Cousins,NFC,3.5,CPOE,2021.xlsx,Sheet1
2021,Aaron Rodgers,NFC,3.6,CPOE,2021.xlsx,Sheet1
2021,Matt Ryan,ATL,1.6,CPOE,2021.xlsx,Sheet1
2021,Jimmy Garoppolo,SF,2.3,CPOE,2021.xlsx,Sheet1
2021,Mac Jones,NE,1.6,CPOE,2021.xlsx,Sheet1
2021,Kyler Murray,NFC,3.1,CPOE,2021.xlsx,Sheet1
2021,Ben Roethlisberger,PIT,-2.2,CPOE,2021.xlsx,Sheet1
2021,Ryan Tannehill,TEN,1.5,CPOE,2021.xlsx,Sheet1
2021,Trevor Lawrence,JAX,-5.0,CPOE,2021.xlsx,Sheet1
2021,Carson Wentz,IND,-2.1,CPOE,2021.xlsx,Sheet1
2021,Taylor Heinicke,WAS,-0.3,CPOE,2021.xlsx,Sheet1
2021,Jared Goff,DET,0.8,CPOE,2021.xlsx,Sheet1
2021,Jalen Hurts,PHI,-0.5,CPOE,2021.xlsx,Sheet1
2021,Russell Wilson,SEA,-1.5,CPOE,2021.xlsx,Sheet1
2021,Teddy Bridgewater,DEN,2.0,CPOE,2021.xlsx,Sheet1
2021,Baker Mayfield,CLE,-3.1,CPOE,2021.xlsx,Sheet1
2021,Lamar Jackson,AFC,-2.9,CPOE,2021.xlsx,Sheet1
2021,Davis Mills,HOU,1.7,CPOE,2021.xlsx,Sheet1
2021,Tua Tagovailoa,MIA,1.8,CPOE,2021.xlsx,Sheet1
2021,Sam Darnold,CAR,-3.6,CPOE,2021.xlsx,Sheet1
2021,Daniel Jones,NYG,1.1,CPOE,2021.xlsx,Sheet1
2021,Zach Wilson,NYJ,-10.1,CPOE,2021.xlsx,Sheet1
2021,Justin Fields,CHI,-3.6,CPOE,2021.xlsx,Sheet1
2021,Andy Dalton,CHI,-3.5,CPOE,2021.xlsx,Sheet1
2021,Jacoby Brissett,MIA,-0.3,CPOE,2021.xlsx,Sheet1
2021,Jameis Winston,NO,-6.0,CPOE,2021.xlsx,Sheet1
2021,Trevor Siemian,NO,-2.8,CPOE,2021.xlsx,Sheet1
2021,Tyler Huntley,BAL,-1.4,CPOE,2021.xlsx,Sheet1
2021,Tyrod Taylor,HOU,-4.1,CPOE,2021.xlsx,Sheet1
2021,Mike Glennon,NYG,-7.1,CPOE,2021.xlsx,Sheet1
2022,Patrick Mahomes,KC,0.4,CPOE,2022.xlsx,Sheet1
2022,Justin Herbert,LAC,2.5,CPOE,2022.xlsx,Sheet1
2022,Tom Brady,TB,-0.8,CPOE,2022.xlsx,Sheet1
2022,Kirk Cousins,MIN,2.6,CPOE,2022.xlsx,Sheet1
2022,Joe Burrow,CIN,1.7,CPOE,2022.xlsx,Sheet1
2022,Jared Goff,DET,-0.6,CPOE,2022.xlsx,Sheet1
2022,Josh Allen,BUF,-1.5,CPOE,2022.xlsx,Sheet1
2022,Geno Smith,SEA,4.3,CPOE,2022.xlsx,Sheet1
2022,Trevor Lawrence,JAX,0.0,CPOE,2022.xlsx,Sheet1
2022,Jalen Hurts,PHI,2.3,CPOE,2022.xlsx,Sheet1
2022,Aaron Rodgers,GB,-1.4,CPOE,2022.xlsx,Sheet1
2022,Tua Tagovailoa,MIA,0.2,CPOE,2022.xlsx,Sheet1
2022,Russell Wilson,DEN,-4.6,CPOE,2022.xlsx,Sheet1
2022,Derek Carr,LV,-0.8,CPOE,2022.xlsx,Sheet1
2022,Daniel Jones,NYG,1.9,CPOE,2022.xlsx,Sheet1
2022,Davis Mills,HOU,-2.4,CPOE,2022.xlsx,Sheet1
2022,Matt Ryan,IND,1.8,CPOE,2022.xlsx,Sheet1
2022,Mac Jones,NE,-1.6,CPOE,2022.xlsx,Sheet1
2022,Andy Dalton,NO,1.6,CPOE,2022.xlsx,Sheet1
2022,Dak Prescott,DAL,3.2,CPOE,2022.xlsx,Sheet1
2022,Jacoby Brissett,CLE,2.7,CPOE,2022.xlsx,Sheet1
2022,Ryan Tannehill,TEN,2.4,CPOE,2022.xlsx,Sheet1
2022,Jimmy Garoppolo,SF,-1.4,CPOE,2022.xlsx,Sheet1
2022,Kenny Pickett,PIT,-1.0,CPOE,2022.xlsx,Sheet1
2022,Kyler Murray,ARI,-1.1,CPOE,2022.xlsx,Sheet1
2022,Lamar Jackson,BAL,-2.2,CPOE,2022.xlsx,Sheet1
2022,Justin Fields,CHI,-6.3,CPOE,2022.xlsx,Sheet1
2022,Marcus Mariota,ATL,-0.9,CPOE,2022.xlsx,Sheet1
2022,Baker Mayfield,LAR,-6.5,CPOE,2022.xlsx,Sheet1
2022,Matthew Stafford,LAR,0.9,CPOE,2022.xlsx,Sheet1
2022,Taylor Heinicke,WAS,1.8,CPOE,2022.xlsx,Sheet1
2022,Carson Wentz,WAS,-3.9,CPOE,2022.xlsx,Sheet1
2022,Zach Wilson,NYJ,-6.7,CPOE,2022.xlsx,Sheet1
2022,Brock Purdy,SF,-1.7,CPOE,2022.xlsx,Sheet1
2022,Mitchell Trubisky,PIT,4.7,CPOE,2022.xlsx,Sheet1
2022,Mike White,NYJ,-3.6,CPOE,2022.xlsx,Sheet1
2022,Sam Darnold,CAR,1.3,CPOE,2022.xlsx,Sheet1
2022,Deshaun Watson,CLE,-3.5,CPOE,2022.xlsx,Sheet1
2022,Cooper Rush,DAL,-5.0,CPOE,2022.xlsx,Sheet1
2022,Joe Flacco,NYJ,-5.5,CPOE,2022.xlsx,Sheet1
2023,Tua Tagovailoa,MIA,1.8,CPOE,2023.xlsx,Sheet1
2023,Jared Goff,DET,1.9,CPOE,2023.xlsx,Sheet1
2023,Dak Prescott,DAL,5.4,CPOE,2023.xlsx,Sheet1
2023,Josh Allen,BUF,2.2,CPOE,2023.xlsx,Sheet1
2023,Brock Purdy,SF,3.5,CPOE,2023.xlsx,Sheet1
2023,Patrick Mahomes,KC,-1.3,CPOE,2023.xlsx,Sheet1
2023,Jordan Love,GB,-0.6,CPOE,2023.xlsx,Sheet1
2023,C.J. Stroud,HOU,1.1,CPOE,2023.xlsx,Sheet1
2023,Baker Mayfield,TB,0.7,CPOE,2023.xlsx,Sheet1
2023,Trevor Lawrence,JAX,0.1,CPOE,2023.xlsx,Sheet1
2023,Matthew Stafford,LAR,-1.6,CPOE,2023.xlsx,Sheet1
2023,Sam Howell,WAS,0.9,CPOE,2023.xlsx,Sheet1
2023,Derek Carr,NO,3.7,CPOE,2023.xlsx,Sheet1
2023,Jalen Hurts,PHI,3.4,CPOE,2023.xlsx,Sheet1
2023,Lamar Jackson,BAL,1.8,CPOE,2023.xlsx,Sheet1
2023,Geno Smith,SEA,2.1,CPOE,2023.xlsx,Sheet1
2023,Gardner Minshew,IND,-0.6,CPOE,2023.xlsx,Sheet1
2023,Justin Herbert,LAC,0.9,CPOE,2023.xlsx,Sheet1
2023,Russell Wilson,DEN,1.1,CPOE,2023.xlsx,Sheet1
2023,Bryce Young,CAR,-0.7,CPOE,2023.xlsx,Sheet1
2023,Desmond Ridder,ATL,0.1,CPOE,2023.xlsx,Sheet1
2023,Justin Fields,CHI,-0.2,CPOE,2023.xlsx,Sheet1
2023,Joshua Dobbs,MIN,-0.3,CPOE,2023.xlsx,Sheet1
2023,Kirk Cousins,MIN,4.6,CPOE,2023.xlsx,Sheet1
2023,Joe Burrow,CIN,0.2,CPOE,2023.xlsx,Sheet1
2023,Zach Wilson,NYJ,-1.5,CPOE,2023.xlsx,Sheet1
2023,Aidan O'Connell,LV,-1.5,CPOE,2023.xlsx,Sheet1
2023,Mac Jones,NE,0.9,CPOE,2023.xlsx,Sheet1
2023,Kenny Pickett,PIT,-0.1,CPOE,2023.xlsx,Sheet1
2023,Jake Browning,CIN,3.0,CPOE,2023.xlsx,Sheet1
2023,Will Levis,TEN,-2.8,CPOE,2023.xlsx,Sheet1
2023,Kyler Murray,ARI,-2.7,CPOE,2023.xlsx,Sheet1
2023,Ryan Tannehill,TEN,0.5,CPOE,2023.xlsx,Sheet1
2023,Joe Flacco,CLE,0.0,CPOE,2023.xlsx,Sheet1
2023,Tyrod Taylor,NYG,2.3,CPOE,2023.xlsx,Sheet1
2023,Nick Mullens,MIN,5.1,CPOE,2023.xlsx,Sheet1
2023,Bailey Zappe,NE,-1.3,CPOE,2023.xlsx,Sheet1
2023,Jimmy Garoppolo,LV,-1.6,CPOE,2023.xlsx,Sheet1
2023,Easton Stick,LAC,-1.7,CPOE,2023.xlsx,Sheet1
2023,Deshaun Watson,CLE,-3.0,CPOE,2023.xlsx,Sheet1
2023,Tommy DeVito,NYG,-3.5,CPOE,2023.xlsx,Sheet1
2023,Daniel Jones,NYG,0.5,CPOE,2023.xlsx,Sheet1
2023,Taylor Heinicke,ATL,-8.6,CPOE,2023.xlsx,Sheet1
2023,Tyson Bagent,CHI,-1.5,CPOE,2023.xlsx,Sheet1
2023,Trevor Siemian,NYJ,-7.0,CPOE,2023.xlsx,Sheet1
2024,Joe Burrow,CIN,4.5,CPOE,2024.xlsx,Sheet1
2024,Jared Goff,DET,5.1,CPOE,2024.xlsx,Sheet1
2024,Baker Mayfield,TB,2.2,CPOE,2024.xlsx,Sheet1
2024,Geno Smith,SEA,3.9,CPOE,2024.xlsx,Sheet1
2024,Sam Darnold,MIN,2.8,CPOE,2024.xlsx,Sheet1
2024,Lamar Jackson,BAL,-0.2,CPOE,2024.xlsx,Sheet1
2024,Patrick Mahomes,KC,-1.2,CPOE,2024.xlsx,Sheet1
2024,Aaron Rodgers,NYJ,-4.7,CPOE,2024.xlsx,Sheet1
2024,Justin Herbert,LAC,2.4,CPOE,2024.xlsx,Sheet1
2024,Brock Purdy,SF,3.0,CPOE,2024.xlsx,Sheet1
2024,Kyler Murray,ARI,2.2,CPOE,2024.xlsx,Sheet1
2024,Bo Nix,DEN,-2.6,CPOE,2024.xlsx,Sheet1
2024,Matthew Stafford,LAR,-0.6,CPOE,2024.xlsx,Sheet1
2024,Josh Allen,BUF,0.8,CPOE,2024.xlsx,Sheet1
2024,C.J. Stroud,HOU,0.2,CPOE,2024.xlsx,Sheet1
2024,Jayden Daniels,WAS,0.7,CPOE,2024.xlsx,Sheet1
2024,Caleb Williams,CHI,-1.1,CPOE,2024.xlsx,Sheet1
2024,Kirk Cousins,ATL,3.4,CPOE,2024.xlsx,Sheet1
2024,Jordan Love,GB,-1.2,CPOE,2024.xlsx,Sheet1
